JX1-2A3C	 U+0106
JX1-2A3D	 U+010C
JX1-2A3E	 U+0118
JX1-2A3F	 U+011A
JX1-2A40	 U+010E
JX1-2A41	 U+0143
JX1-2A42	 U+0147
JX1-2A43	 U+0150
JX1-2A44	 U+0158
JX1-2A45	 U+016E
JX1-2A46	 U+0170
JX1-2A47	 U+0162
JX1-2A48	 U+0155
JX1-2A49	 U+0103
JX1-2A4A	 U+013A
JX1-2A4B	 U+0107
JX1-2A4C	 U+010D
JX1-2A4D	 U+0119
JX1-2A4E	 U+011B
JX1-2A4F	 U+010F
JX1-2A50	 U+0111
JX1-2A51	 U+0144
JX1-2A52	 U+0148
JX1-2A53	 U+0151
JX1-2A54	 U+0159
JX1-2A55	 U+016F
JX1-2A56	 U+0171
JX1-2A57	 U+0163
JX1-2A58	 U+02D9
JX1-2A59	 U+0108
JX1-2A5A	 U+011C
JX1-2A5B	 U+0124
JX1-2A5C	 U+0134
JX1-2A5D	 U+015C
JX1-2A5E	 U+016C
JX1-2A5F	 U+0109
JX1-2A60	 U+011D
JX1-2A61	 U+0125
JX1-2A62	 U+0135
JX1-2A63	 U+015D
JX1-2A64	 U+016D
JX1-2A65	 U+0271
JX1-2A66	 U+028B
JX1-2A67	 U+027E
JX1-2A68	 U+0283
JX1-2A69	 U+0292
JX1-2A6A	 U+026C
JX1-2A6B	 U+026E
JX1-2A6C	 U+0279
JX1-2A6D	 U+0288
JX1-2A6E	 U+0256
JX1-2A6F	 U+0273
JX1-2A70	 U+027D
JX1-2A71	 U+0282
JX1-2A72	 U+0290
JX1-2A73	 U+027B
JX1-2A74	 U+026D
JX1-2A75	 U+025F
JX1-2A76	 U+0272
JX1-2A77	 U+029D
JX1-2A78	 U+028E
JX1-2A79	 U+0261
JX1-2A7A	 U+014B
JX1-2A7B	 U+0270
JX1-2A7C	 U+0281
JX1-2A7D	 U+0127
JX1-2A7E	 U+0295
JX1-2B21	 U+0294
JX1-2B22	 U+0266
JX1-2B23	 U+0298
JX1-2B24	 U+01C2
JX1-2B25	 U+0253
JX1-2B26	 U+0257
JX1-2B27	 U+0284
JX1-2B28	 U+0260
JX1-2B29	 U+0193
JX1-2B2A	 U+0153
JX1-2B2B	 U+0152
JX1-2B2C	 U+0268
JX1-2B2D	 U+0289
JX1-2B2E	 U+0258
JX1-2B2F	 U+0275
JX1-2B30	 U+0259
JX1-2B31	 U+025C
JX1-2B32	 U+025E
JX1-2B33	 U+0250
JX1-2B34	 U+026F
JX1-2B35	 U+028A
JX1-2B36	 U+0264
JX1-2B37	 U+028C
JX1-2B38	 U+0254
JX1-2B39	 U+0251
JX1-2B3A	 U+0252
JX1-2B3B	 U+028D
JX1-2B3C	 U+0265
JX1-2B3D	 U+02A2
JX1-2B3E	 U+02A1
JX1-2B3F	 U+0255
JX1-2B40	 U+0291
